Data Level,SCHOOL_YEAR,REPORTING_PERIOD,DISTRICT_NUMBER,DISTRICT_NAME,EMPLOYMENT_CATEGORY,GENDER,HEADCOUNT,FTE_VALUE,AVERAGE_AGE,AVERAGE_ANNUAL_SALARY_PER_FTE
District Level,2013/2014,Q1,35,Langley,Teacher,Male,307,291.542,45,69627
District Level,2013/2014,Q1,35,Langley,Teacher,Female,863,748.0785,44,68104
District Level,2013/2014,Q4,35,Langley,Administrator,All,91,93.2,49,105517
District Level,2013/2014,Q4,35,Langley,Administrator,Male,53,55,47,106998
District Level,2013/2014,Q4,35,Langley,Administrator,Female,38,38.2,51,103482
District Level,2013/2014,Q4,35,Langley,Educator,All,1268,1138.622,44,70519
District Level,2013/2014,Q4,35,Langley,Educator,Male,364,352.607,45,74576
District Level,2013/2014,Q4,35,Langley,Educator,Female,904,786.015,44,68962
District Level,2013/2014,Q4,35,Langley,Teacher,All,1177,1045.422,44,68140
District Level,2013/2014,Q4,35,Langley,Teacher,Male,311,297.607,45,69609
District Level,2013/2014,Q4,35,Langley,Teacher,Female,866,747.815,44,67633
District Level,2013/2014,Q1,36,Surrey,Administrator,All,250,249.35,48,102650
District Level,2013/2014,Q1,36,Surrey,Administrator,Male,110,109.35,48,105985
District Level,2013/2014,Q1,36,Surrey,Administrator,Female,140,140,48,100108
District Level,2013/2014,Q1,36,Surrey,Educator,All,4494,4130.255,43,71850
District Level,2013/2014,Q1,36,Surrey,Educator,Male,1151,1128.895,45,75900
District Level,2013/2014,Q1,36,Surrey,Educator,Female,3343,3001.36,43,70398
District Level,2013/2014,Q1,36,Surrey,Teacher,All,4244,3880.905,43,69488
District Level,2013/2014,Q1,36,Surrey,Teacher,Male,1041,1019.545,45,71922
District Level,2013/2014,Q1,36,Surrey,Teacher,Female,3203,2861.36,42,68672
District Level,2013/2014,Q4,36,Surrey,Administrator,All,250,249.1,49,101356
District Level,2013/2014,Q4,36,Surrey,Administrator,Male,106,105.5,49,106694
District Level,2013/2014,Q4,36,Surrey,Administrator,Female,144,143.6,49,97560
District Level,2013/2014,Q4,36,Surrey,Educator,All,4534,4169.845,43,71503
District Level,2013/2014,Q4,36,Surrey,Educator,Male,1148,1129.105,45,75346
District Level,2013/2014,Q4,36,Surrey,Educator,Female,3386,3040.74,43,70166
District Level,2013/2014,Q4,36,Surrey,Teacher,All,4284,3920.745,43,69310
District Level,2013/2014,Q4,36,Surrey,Teacher,Male,1042,1023.605,45,71464
District Level,2013/2014,Q4,36,Surrey,Teacher,Female,3242,2897.14,43,68604
District Level,2013/2014,Q1,37,Delta,Administrator,All,74,74,48,107667
District Level,2013/2014,Q1,37,Delta,Administrator,Male,35,35,46,108706
District Level,2013/2014,Q1,37,Delta,Administrator,Female,39,39,50,106735
District Level,2013/2014,Q1,37,Delta,Educator,All,1094,995.48,45,73500
District Level,2013/2014,Q1,37,Delta,Educator,Male,280,271.53,44,76733
District Level,2013/2014,Q1,37,Delta,Educator,Female,814,723.95,45,72387
District Level,2013/2014,Q1,37,Delta,Teacher,All,1020,921.48,44,71021
District Level,2013/2014,Q1,37,Delta,Teacher,Male,245,236.53,44,72166
District Level,2013/2014,Q1,37,Delta,Teacher,Female,775,684.95,44,70659
District Level,2013/2014,Q4,37,Delta,Administrator,All,75,74.5,49,107868
District Level,2013/2014,Q4,37,Delta,Administrator,Male,35,35,46,108622
District Level,2013/2014,Q4,37,Delta,Administrator,Female,40,39.5,51,107209
District Level,2013/2014,Q4,37,Delta,Educator,All,1113,1002.555,45,73883
District Level,2013/2014,Q4,37,Delta,Educator,Male,291,278.335,45,76595
District Level,2013/2014,Q4,37,Delta,Educator,Female,822,724.22,45,72923
District Level,2013/2014,Q4,37,Delta,Teacher,All,1038,928.055,45,71427
District Level,2013/2014,Q4,37,Delta,Teacher,Male,256,243.335,44,72216
District Level,2013/2014,Q4,37,Delta,Teacher,Female,782,684.72,45,71169
District Level,2013/2014,Q1,38,Richmond,Administrator,All,105,105,50,105637
District Level,2013/2014,Q1,38,Richmond,Administrator,Male,44,44,49,104771
District Level,2013/2014,Q1,38,Richmond,Administrator,Female,61,61,51,106290
District Level,2013/2014,Q1,38,Richmond,Educator,All,1393,1284.085,44,72745
District Level,2013/2014,Q1,38,Richmond,Educator,Male,395,385.385,44,74433
District Level,2013/2014,Q1,38,Richmond,Educator,Female,998,898.7,44,72079
District Level,2013/2014,Q1,38,Richmond,Teacher,All,1288,1179.085,43,70465
District Level,2013/2014,Q1,38,Richmond,Teacher,Male,351,341.385,44,71118
District Level,2013/2014,Q1,38,Richmond,Teacher,Female,937,837.7,43,70219
District Level,2013/2014,Q4,38,Richmond,Administrator,All,102,102,50,105137
District Level,2013/2014,Q4,38,Richmond,Administrator,Male,44,44,49,104857
District Level,2013/2014,Q4,38,Richmond,Administrator,Female,58,58,51,105360
District Level,2013/2014,Q4,38,Richmond,Educator,All,1342,1232.9371,44,72372
District Level,2013/2014,Q4,38,Richmond,Educator,Male,386,375.3709,45,74250
District Level,2013/2014,Q4,38,Richmond,Educator,Female,956,857.5662,44,71607
District Level,2013/2014,Q4,38,Richmond,Teacher,All,1240,1130.9371,44,70081
District Level,2013/2014,Q4,38,Richmond,Teacher,Male,342,331.3709,44,70857
District Level,2013/2014,Q4,38,Richmond,Teacher,Female,898,799.5662,43,69780
